workerid,totalLength,gameID,thinksHuman,comments,ratePartner,role,nativeEnglish,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
10,563251,1022-7,yes,I found it very fun! I had a great partner and I found the task fun,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,34HJIJKLP5VEICHQCIJZQ6CX45SV4R,10,Submitted,Tue Nov 17 01:10:12 PST 2015,Mon Nov 16 08:07:19 PST 2015,Mon Nov 16 08:30:12 PST 2015,,,,,,"""1022-7""",[]
11,565628,1022-7,no,,liked,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3VZLGYJEYL9MPYAAXQA78NMRLB3XZ8,11,Submitted,Tue Nov 17 01:10:17 PST 2015,Mon Nov 16 08:07:28 PST 2015,Mon Nov 16 08:30:17 PST 2015,,,,,,"""1022-7""",[]
12,1034112,5518-8,no,Thanks!,liked,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3JJVG1YBEBWH5HNKL6B9UMO4198B57,12,Submitted,Tue Nov 17 01:16:44 PST 2015,Mon Nov 16 08:09:26 PST 2015,Mon Nov 16 08:36:44 PST 2015,,,,,,"""5518-8""",[]
13,997294,5518-8,yes,,okay,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3VW04L3ZLT5XK3AVW8MMB26GDB5XXB,13,Submitted,Tue Nov 17 01:16:56 PST 2015,Mon Nov 16 08:09:30 PST 2015,Mon Nov 16 08:36:56 PST 2015,,,,,,"""5518-8""",[]
14,651679,8879-f,no,,okay,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,33FBRBDW6OYJ24YSX4E7HQ4DLK98CD,14,Submitted,Tue Nov 17 01:22:19 PST 2015,Mon Nov 16 08:07:26 PST 2015,Mon Nov 16 08:42:19 PST 2015,,,,,,"""8879-f""",[]
15,533349,8879-f,no,,liked,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,32UTUBMZ7GVY3B2ZRXTMYKI3EX9VBX,15,Submitted,Tue Nov 17 01:22:22 PST 2015,Mon Nov 16 08:07:26 PST 2015,Mon Nov 16 08:42:22 PST 2015,,,,,,"""8879-f""",[]
16,985936,2444-b,yes,"Thank you for the opportunity, I wish the best for your research!",okay,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3DBQWDE4Y6XJ6QCHOWGILHOYIYLN57,16,Submitted,Tue Nov 17 01:23:14 PST 2015,Mon Nov 16 08:07:20 PST 2015,Mon Nov 16 08:43:14 PST 2015,,,,,,"""2444-b""",[]
17,1364846,2444-b,no,Just wondering why not make it a bit more difficult? Thank you,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3FUI0JHJPXX9O7W3SU8AX6S8ZL433I,17,Submitted,Tue Nov 17 01:24:05 PST 2015,Mon Nov 16 08:07:30 PST 2015,Mon Nov 16 08:44:05 PST 2015,,,,,,"""2444-b""",[]
18,1143922,1596-3,yes,Interesting and fun experiment,liked,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3018Q3ZVOIP1RUGQCZOG2C9UB9ARA4,18,Submitted,Tue Nov 17 01:28:12 PST 2015,Mon Nov 16 08:07:24 PST 2015,Mon Nov 16 08:48:12 PST 2015,,,,,,"""1596-3""",[]
19,1167283,1596-3,no,No,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3OB0CAO74HOPYI0QW0Q2RUPVRRGHY8,19,Submitted,Tue Nov 17 01:28:12 PST 2015,Mon Nov 16 08:07:25 PST 2015,Mon Nov 16 08:48:12 PST 2015,,,,,,"""1596-3""",[]
20,784103,6040-6,yes,This was a lot of fun although my partner and I didn&quotechart really need to interact much.,liked,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3CFVK00FWLKP1U9AH2A80VY99YWL6J,20,Submitted,Tue Nov 17 01:29:31 PST 2015,Mon Nov 16 08:07:23 PST 2015,Mon Nov 16 08:49:31 PST 2015,,,,,,"""6040-6""",[]
21,566503,6040-6,no,"none, but as the listener, I feel I did little work.",loved,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3UOUJI6MTDD53ZG0R3BZRV7CJTOXUJ,21,Submitted,Tue Nov 17 01:30:12 PST 2015,Mon Nov 16 08:35:36 PST 2015,Mon Nov 16 08:50:12 PST 2015,,,,,,"""6040-6""",[]
22,387772,5721-4,yes,,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,323Q6SJS8IFJYRJVRAYE29IFLGQFH9,22,Submitted,Tue Nov 17 01:40:49 PST 2015,Mon Nov 16 08:07:23 PST 2015,Mon Nov 16 09:00:49 PST 2015,,,,,,"""5721-4""",[]
23,337453,5721-4,yes,,not much,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3Y4W8Q93LZJRI80J5TKSTA63HILVD4,23,Submitted,Tue Nov 17 01:41:05 PST 2015,Mon Nov 16 08:31:24 PST 2015,Mon Nov 16 09:01:05 PST 2015,,,,,,"""5721-4""",[]
24,1009128,3700-f,yes,,liked,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,39L1G8WVWQQDE4IO5QUR9DDB11Q31Q,24,Submitted,Tue Nov 17 01:41:15 PST 2015,Mon Nov 16 08:41:52 PST 2015,Mon Nov 16 09:01:15 PST 2015,,,,,,"""3700-f""",[]
25,1033433,3700-f,yes,Nope.,liked,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3J88R45B2GXSBU84AHC5HPKDBCWPXF,25,Submitted,Tue Nov 17 01:41:23 PST 2015,Mon Nov 16 08:07:19 PST 2015,Mon Nov 16 09:01:23 PST 2015,,,,,,"""3700-f""",[]
26,384662,7844-6,no,,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,37XITHEISW8PK9DOWDK787ZIBCVRC6,26,Submitted,Tue Nov 17 01:43:22 PST 2015,Mon Nov 16 08:07:55 PST 2015,Mon Nov 16 09:03:22 PST 2015,,,,,,"""7844-6""",[]
27,365354,7844-6,yes,Nope,loved,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3LJ7UR74RHC1A78HARX8GPIKI2QN42,27,Submitted,Tue Nov 17 01:43:24 PST 2015,Mon Nov 16 08:07:18 PST 2015,Mon Nov 16 09:03:24 PST 2015,,,,,,"""7844-6""",[]
28,2698951,5357-c,yes,none,okay,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3DBQWDE4Y6XJ6QCHOWGILHOYIYM5NQ,28,Submitted,Tue Nov 17 01:43:57 PST 2015,Mon Nov 16 08:07:25 PST 2015,Mon Nov 16 09:03:57 PST 2015,,,,,,"""5357-c""",[]
29,2747675,5357-c,yes,no,okay,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3JZQSN0I3Q95YVOK74GWH96E6GDFGA,29,Submitted,Tue Nov 17 01:44:05 PST 2015,Mon Nov 16 08:07:22 PST 2015,Mon Nov 16 09:04:05 PST 2015,,,,,,"""5357-c""",[]
30,807696,4194-7,yes,It was fun,liked,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3JPSL1DZ5SYGCWOYJS7ZTS4KACMNAD,30,Submitted,Tue Nov 17 01:53:27 PST 2015,Mon Nov 16 08:07:27 PST 2015,Mon Nov 16 09:13:27 PST 2015,,,,,,"""4194-7""",[]
31,478101,4194-7,yes,That was a really interesting experience. I liked trying to work out what my partner meant by some of their shorthand. ,loved,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,358010RM5ES5GE50WTL4NH9VX0XXV8,31,Submitted,Tue Nov 17 01:53:59 PST 2015,Mon Nov 16 08:07:24 PST 2015,Mon Nov 16 09:13:59 PST 2015,,,,,,"""4194-7""",[]
32,1912810,2036-f,yes,Forgive my bad jokes.,okay,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3U8YCDAGXPF5EG387I2N8GNC61XQ0C,32,Submitted,Tue Nov 17 01:56:25 PST 2015,Mon Nov 16 08:07:23 PST 2015,Mon Nov 16 09:16:25 PST 2015,,,,,,"""2036-f""",[]
33,1609704,2036-f,yes,,liked,listener,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3TXD01ZLD4GE5XSQ7S9UUKAEQYKU42,33,Submitted,Tue Nov 17 01:56:28 PST 2015,Mon Nov 16 08:12:59 PST 2015,Mon Nov 16 09:16:28 PST 2015,,,,,,"""2036-f""",[]
34,870129,7625-1,yes,Thank you,loved,speaker,yes,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3VNXK88KKCHFFIN2TDFQ7ENDQX6V9N,34,Submitted,Tue Nov 17 02:24:11 PST 2015,Mon Nov 16 09:27:26 PST 2015,Mon Nov 16 09:44:11 PST 2015,,,,,,"""7625-1""",[]
