condition,label,constantLength,t_t,t_d1,t_d2,t_d,freq_sub,freq_sub_label,freq_basic,freq_basic_label,freq_super,freq_super_label,p_s_sub,p_s_basic,p_s_super
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,1.59E-010,LOW,2.21E-005,MED,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,1.59E-010,LOW,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,2.21E-005,MED,2.21E-005,MED,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,0.000309774,HIGH,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,2.21E-005,MED,1.59E-010,LOW,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,0.000309774,HIGH,1.59E-010,LOW,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,2.21E-005,MED,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item33,sub,7.029412,0.9369443,0,0,0,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item33,basic,7.029412,0.8803017,0,0,0,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,1.59E-010,LOW,0.000309774,HIGH,2.21E-005,MED,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,1.59E-010,LOW,1.59E-010,LOW,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,1.59E-010,LOW,2.21E-005,MED,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,1.59E-010,LOW,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,2.21E-005,MED,2.21E-005,MED,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,0.000309774,HIGH,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,2.21E-005,MED,1.59E-010,LOW,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,0.000309774,HIGH,1.59E-010,LOW,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item12,basic,7.029412,0.8803017,0.861241,0.06146359,0.4613523,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item22,basic,7.029412,0.8803017,0.06146359,0.06146359,0.06146359,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item23,basic,7.029412,0.8803017,0.06146359,0,,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item33,basic,7.029412,0.8803017,0,0,0,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item12,super,7.029412,0.8244489,0.8160308,0.8028321,0.8094314,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item22,super,7.029412,0.8244489,0.8028321,0.8028321,0.8028321,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item23,super,7.029412,0.8244489,0.8028321,0.04304787,0.42294,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item33,super,7.029412,0.8244489,0.04304787,0.04304787,0.04304787,2.21E-005,MED,2.21E-005,MED,0.000309774,HIGH,,,
item12,sub,7.029412,0.9369443,0.2646565,0.04424588,0.1544512,2.21E-005,MED,0.000309774,HIGH,2.21E-005,MED,,,
item22,sub,7.029412,0.9369443,0.04424588,0.04424588,0.04424588,2.21E-005,MED,0.000309774,HIGH,2.21E-005,MED,,,
item23,sub,7.029412,0.9369443,0.04424588,0,0.02212294,2.21E-005,MED,0.000309774,HIGH,2.21E-005,MED,,,
item33,sub,7.029412,0.9369443,0,0,0,2.21E-005,MED,0.000309774,HIGH,2.21E-005,MED,,,
